Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
,AGRICULTURE,Others,Others,Weather,Asked about GOKAK Taluk Weather report,Cloudy. High 39ï¿½ï¿½C. Winds W at 15 to 30 k,KARNATAKA,BELGAUM,GOKAK,21:01.1
,AGRICULTURE,Others,Others,Weather,CALL DISCONNECTED,CALL DISCONNECTED,KARNATAKA,BELGAUM,KHANAPUR,33:44.9
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Taluk.,Cloudy. High 37ï¿½ï¿½C. Winds W at 15 to 30 k,KARNATAKA,BELGAUM,CHIKODI,30:34.5
,HORTICULTURE,Fruits,Pomegranate,"	Plant Protection	",asked about pomegranate plant protection,recommended to spray imidachloprid 0.5ml/litre for sucking pests and for shoot borer suggested to inject DDVP 2ml/litre and close the hole with wet mud.,KARNATAKA,BELGAUM,ATHNI,36:11.1
,AGRICULTURE,Others,Others,"	Plant Protection	",asked about plant protection sugarcane,Recommended to spray cloropyriphos or quinolphos 2ml per ltr,KARNATAKA,BELGAUM,RAMDURG,48:53.1
,HORTICULTURE,Fruits,Pomegranate,Nutrient Management,Asked about Nutrient management in pomegranate.,Recommended to spray:- Pomegranate special micronutrient mixture @ 5g/lit of water to increase the fruit size in pomegranate.,KARNATAKA,BELGAUM,ATHNI,16:07.2
,HORTICULTURE,Fruits,Pomegranate,Cultural Practices,Which month is suitable to take Pomegranate crop?,"During Kharif,June-July months are suitable.and the best suitable varities are Ganesh (GBG - 1), Mrudula/Araktha,Jyothi, G - 137, Ruby red, Kesar/ Bhagva/Sindura, Bhagya for more information click on this linkhttp://e-krishiuasb.karnataka.gov.in/ItemDetails.aspx?depID=2&subDepID=1&cropID=9#",KARNATAKA,BELGAUM,ATHNI,18:10.1
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",Asked about  pest management in sugarcane.,Recommended to spray:- Quinolphos @ 2ml/lit to control stem borer in sugarcane.,KARNATAKA,BELGAUM,RAMDURG,14:31.2
,AGRICULTURE,Others,Others,Training and Exposure Visits,asked about veterinary help line,veterinary help line : 080-23417100,KARNATAKA,BELGAUM,RAMDURG,28:21.7
,AGRICULTURE,Others,Others,Weather,asked about transplanting of onion,recommended to sow at june - july,KARNATAKA,BELGAUM,RAMDURG,44:33.3
